id,name,vessel_class_id,imo_number,dwt,cargo_capacity,draft,loa,beam,speed_laden,speed_ballast,consumption_laden,consumption_ballast,employment_control,source,status,is_demo,version
1,VO Amber Leader,1,IMO9450011,34500.0,32000.0,10.2,178.5,28.4,12.0,13.0,17.5,15.5,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
2,VO Coral Trader,1,IMO9450022,36000.0,33500.0,10.4,180.0,28.6,12.1,13.0,18.0,15.8,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
3,Pacific Falcon,1,IMO9450033,32500.0,30500.0,9.9,175.0,27.8,11.8,12.8,16.8,14.8,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
4,Baltic Sprite,1,IMO9450044,37000.0,34500.0,10.6,182.0,28.8,12.2,13.1,18.2,16.0,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
5,VO Indus Pioneer,2,IMO9550055,58000.0,55000.0,12.8,190.0,32.2,12.5,13.5,23.5,20.5,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
6,VO Kalinga Star,2,IMO9550066,61000.0,57500.0,13.0,199.9,32.26,12.6,13.6,24.2,21.0,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
7,Asian Fortune,2,IMO9550077,56500.0,53500.0,12.6,189.9,32.2,12.4,13.4,23.0,20.0,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
8,Eastern Horizon,2,IMO9550088,63500.0,60000.0,13.2,199.9,32.26,12.8,13.8,25.0,21.5,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
9,Samudra Gem,2,IMO9550099,57200.0,54000.0,12.7,190.0,32.2,12.5,13.5,23.4,20.4,UNKNOWN,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
10,VO Mahanadi Breeze,3,IMO9650100,76000.0,72500.0,14.1,225.0,32.26,12.7,13.7,27.5,23.5,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
11,VO Utkal Glory,3,IMO9650111,82000.0,78500.0,14.5,229.0,32.26,12.9,13.9,28.5,24.5,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
12,Ocean Navigator,3,IMO9650122,74500.0,71000.0,14.0,224.5,32.24,12.6,13.6,26.8,23.0,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
13,Southern Cross,3,IMO9650133,81500.0,78000.0,14.4,229.0,32.26,12.8,13.8,28.2,24.2,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
14,Cape Leeuwin,3,IMO9650144,80000.0,76500.0,14.3,228.0,32.26,12.7,13.7,28.0,24.0,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
15,Dhamra Express,3,IMO9650155,82500.0,79000.0,14.5,229.2,32.26,12.9,13.9,28.8,24.6,UNKNOWN,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
16,VO Bharat Titan,4,IMO9750166,180000.0,172000.0,18.2,292.0,45.0,13.0,14.0,44.0,37.0,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
17,VO Sagar Samrat,4,IMO9750177,208000.0,198000.0,18.6,299.9,50.0,13.2,14.2,47.0,39.5,CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
18,Pilbara Iron,4,IMO9750188,178000.0,170000.0,18.0,290.0,45.0,12.9,13.9,43.5,36.5,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
19,Tubarao Giant,4,IMO9750199,206000.0,196000.0,18.5,299.5,49.5,13.1,14.1,46.5,39.0,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
20,Minas Gerais,4,IMO9750200,182000.0,174000.0,18.2,293.0,45.0,13.0,14.0,44.5,37.5,NOT_CONTROLLED,SYNTHETIC_FLEET_REGISTRY,ACTIVE,True,1
